experiment,repetition,sampleIndex,raw,filtered
6,2,2,375,374
6,2,3,375,368
6,2,4,355,362
6,2,5,355,356
6,2,6,354,352
6,2,7,354,354
6,2,8,353,354
6,2,9,354,354
6,2,10,354,354
6,2,11,354,354
6,2,12,354,353
6,2,13,353,353
6,2,14,353,354
6,2,15,356,355
6,2,16,356,355
6,2,17,354,355
6,2,18,354,355
6,2,19,355,354
6,2,20,355,355
6,2,21,354,354
6,2,22,354,354
6,2,23,355,355
6,2,24,355,355
6,2,25,354,354
6,2,26,354,354
6,2,27,354,354
6,2,28,354,354
6,2,29,354,354
6,2,30,354,354
6,2,31,354,354
6,2,32,354,354
6,2,33,354,354
6,2,34,354,354
6,2,35,354,354
6,2,36,354,354
6,2,37,354,354
6,2,38,354,354
6,2,39,354,354
6,2,40,354,354
6,2,41,354,355
6,2,42,356,355
6,2,43,356,355
6,2,44,354,355
6,2,45,354,354
6,2,46,354,354
6,2,47,354,354
6,2,48,355,355
6,2,49,355,355
6,2,50,355,355
6,2,51,355,354
6,2,52,353,354
6,2,53,353,354
6,2,54,355,354
6,2,55,354,354
6,2,56,354,354
6,2,57,353,353
6,2,58,353,353
6,2,59,354,354
6,2,60,354,354
6,2,61,355,355
6,2,62,355,355
6,2,63,354,354
6,2,64,354,354
6,2,65,355,355
6,2,66,355,355
6,2,67,354,354
6,2,68,354,354
6,2,69,354,354
6,2,70,354,354
6,2,71,355,354
6,2,72,354,354
6,2,73,354,355
6,2,74,355,355
6,2,75,355,355
6,2,76,354,354
6,2,77,354,354
6,2,78,354,354
6,2,79,354,354
6,2,80,354,354
6,2,81,354,354
6,2,82,355,355
6,2,83,355,355
6,2,84,354,354
6,2,85,354,354
6,2,86,354,354
6,2,87,354,354
6,2,88,354,354
6,2,89,354,354
6,2,90,353,353
6,2,91,353,353
6,2,92,354,354
6,2,93,354,354
6,2,94,354,354
6,2,95,354,354
6,2,96,354,354
6,2,97,354,354
6,2,98,354,354
6,2,99,353,353
6,2,100,353,353
6,2,101,353,353
6,2,102,353,353
6,2,103,354,354
6,2,104,354,354
6,2,105,354,354
6,2,106,354,354
6,2,107,355,355
6,2,108,355,355
6,2,109,354,354
6,2,110,354,354
6,2,111,354,354
6,2,112,354,354
6,2,113,354,354
6,2,114,354,354
6,2,115,354,354
6,2,116,353,353
6,2,117,353,353
